"Are you sure?","Weet u het zeker?"
"Are you sure you would like to remove this item from the shopping cart?","Weet u zeker dat u dit artikel uit het winkelwagentje wilt halen?"
"Search results","Zoekresultaten"
"Select Container ID to configure. Dropdown will populate automatically once Account ID is set.","Selecteer Container ID om te configureren. Dropdown zal automatisch worden ingevuld zodra Account ID is ingesteld."
"Allow marketing cookies","Marketing cookies toestaan"
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Marketingcookies worden gebruikt om bezoekers op websites te volgen. De bedoeling is om advertenties te tonen die relevant en boeiend zijn voor de individuele gebruiker en daardoor waardevoller voor uitgevers en externe adverteerders."
"Allow preferences cookies","Voorkeuren cookies toestaan"
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Voorkeurscookies stellen een website in staat om informatie te onthouden die de manier waarop de website zich gedraagt of eruit ziet, verandert, zoals uw voorkeurstaal of de regio waarin u zich bevindt."
"Allow analytics cookies","Analytics-cookies toestaan"
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Statistische cookies helpen website-eigenaren om te begrijpen hoe bezoekers omgaan met websites door anoniem informatie te verzamelen en te rapporteren."
"Standard","Standaard"
"Assisted (depends on Optimize implemented via tag in GTM)","Assisted (hangt af van de implementatie van Optimalize via tag in GTM)"
"No container(s) detected (Check your Account ID)","Geen container(s) gedetecteerd (Controleer uw Account ID)"
"Not set (Sign in to Google first)","Niet ingesteld (Meld u eerst aan bij Google)"
"We have detected existing Universal Analytics tag. Skipping tag creation.","We hebben bestaande Universal Analytics-tag gedetecteerd. Tagaanmaak overslaan."
"Google Tag Manager Account ID is not set.","Google Tag Manager Account ID is niet ingesteld."
"Google Tag Manager Universal Analytics Tracking ID is not set.","Google Tag Manager Universal Analytics Tracking ID is niet ingesteld."
"It seems you are using checkout solution from Amasty","Het lijkt erop dat u gebruik maakt van afrekenoplossing van Amasty"
"It seems you are using checkout solution from Mageplaza","Het lijkt erop dat u gebruik maakt van de afrekenoplossing van Mageplaza"
"It seems you are using checkout solution from IWD","Het lijkt erop dat u gebruik maakt van afrekenoplossing van IWD"